Com_Name,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12
Emu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3.75e-4,0,0,0,0,3.125e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bar-headed Goose,0,0,0,0,0,0,1.99e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13e-5,2.28e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.975e-6,0,0,0,0,1.3525e-5,0,0,0,0,0,1.5416666666666666e-6,1.3525e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Emperor Goose,2.35e-5,1.207e-4,1.285e-4,2.33e-5,6.56e-5,2.69e-5,1.99e-5,0.0015,2.93e-5,0.0015,0.0015,1.76e-5,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,3.01e-5,0,0,0,0,0,0,0,0,0.0015,6.92e-5,0,0,0,0.0015,0.0015,1.69e-4,1.295e-4,0.0015,5.17e-5,NA,7.400000000000001e-5,4.031e-4,7.61725e-4,3.75e-4,0,0,3.75e-4,7.525e-6,0,3.923e-4,7.5e-4,4.6255e-4,3.0010000000000003e-4,7.61725e-4,0,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Snow Goose,0.0301899,0.0307209,0.0282125,0.0254135,0.023426,0.0187749,0.0163005,0.0203704,0.0208851,0.0212625,0.0197185,0.0216844,0.0243828,0.0281917,0.0348293,0.0255123,0.0170626,0.0101023,0.0044695,0.0021128,9.511e-4,3.218e-4,3.627e-4,4.892e-4,1.046e-4,2.396e-4,1.878e-4,2.965e-4,7.833e-4,6.536e-4,0.0010281,9.494e-4,8.823e-4,0.0010271,0.0024978,0.014982,0.0413243,0.0618195,0.078567,0.0784964,0.0668038,0.0617485,0.0517915,0.0451043,0.0372138,0.032123,0.0292583,0.0281206,NA,0.0286342,0.019717949999999998,0.020887625,0.028229025,0.0084368,5.312e-4,2.07125e-4,8.536e-4,0.0048473000000000006,0.06505179999999999,0.056362024999999996,0.031678925,0.022119797916666666,0.06505179999999999,9,Common,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Rosss Goose,0,0,0,0.0015,6.56e-5,8.08e-5,1.99e-5,3.24e-5,0.0015,0,0.0015,3.52e-5,7.04e-5,8.94e-5,3.777e-4,0.0018489,7.963e-4,4.608e-4,1.828e-4,3.02e-5,2.21e-5,0,0,0,0,0,0,0,0,0,0,0,0,2.93e-5,2.97e-5,4.9e-5,1.819e-4,0,3.46e-5,4.95e-5,3.43e-5,0,0,3.53e-5,0,0,0.0015,0.0015,NA,3.75e-4,4.9675e-5,7.588e-4,5.966e-4,3.67525e-4,5.525e-6,0,0,2.7e-5,6.65e-5,1.74e-5,7.5e-4,2.5116875e-4,7.588e-4,0,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Snow x Rosss Goose (hybrid),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,3.11e-5,1.9e-5,0,2.03e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,3.82775e-4,9.825e-6,0,0,0,0,0,0,0,3.2716666666666665e-5,3.82775e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Snow/Rosss Goose,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0.0015,2.1e-5,3.11e-5,0.0015,1.77e-5,0,1.51e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03e-5,0,3.46e-5,0,0.0015,0,0,0,0,0,0,0,NA,0,3.75e-4,0,3.88025e-4,3.832e-4,0,0,0,0,1.6225e-5,3.75e-4,0,1.2812083333333334e-4,3.88025e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Graylag Goose,2.35e-5,3.02e-5,0,0,0,0.0015,0,0,2.93e-5,0,0,0,0,0,2.1e-5,1.55e-5,0,0,0,0,0,2.3e-5,0,0,2.61e-5,0,0,0,0,0,3.02e-5,0,0.0015,0,0,2.45e-5,0,5.95e-5,0.0015,0,6.86e-5,3.25e-5,3.76e-5,0,0,0,0,0.0015,NA,1.3425e-5,3.75e-4,7.325e-6,9.125e-6,0,5.75e-6,6.525e-6,7.55e-6,3.81125e-4,3.8987500000000003e-4,3.4675e-5,3.75e-4,1.3378125e-4,3.8987500000000003e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Swan Goose,0,0,0,6.99e-5,0,0,0,0,1.755e-4,1.804e-4,2.59e-5,8.81e-5,7.04e-5,4.47e-5,2.098e-4,1.709e-4,1.138e-4,8.86e-5,2.032e-4,1.509e-4,1.106e-4,1.379e-4,7.25e-5,6.11e-5,0,3e-5,6.26e-5,9.12e-5,3.01e-5,3.11e-5,6.05e-5,2.06e-5,5.51e-5,2.93e-5,1.487e-4,1.224e-4,0,1.487e-4,1.729e-4,1.981e-4,1.371e-4,6.5e-5,3.76e-5,0.0015,0,0,0,0,NA,1.7475e-5,0,1.17475e-4,1.2395e-4,1.39125e-4,9.5525e-5,4.595e-5,3.5575e-5,8.8875e-5,1.29925e-4,4.34925e-4,0,1.024e-4,4.34925e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Graylag x Swan Goose (hybrid),0,3.02e-5,0,0,0,0,0,0,0,3.01e-5,0,0,0,0,0,0,0,3.54e-5,0,0,4.42e-5,0,0,4.08e-5,2.61e-5,0,3.13e-5,2.28e-5,3.01e-5,3.11e-5,0,2.06e-5,0,2.93e-5,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,NA,7.55e-6,0,7.525e-6,0,8.85e-6,2.125e-5,2.005e-5,2.045e-5,7.325e-6,3.75e-4,0,0,3.9e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
