









Frequency of observations in the selected location(s).:
Number of taxa: 	854

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	42597.0	33137.0	31121.0	42930.0	30479.0	37124.0	50244.0	30829.0	34187.0	33251.0	38644.0	56769.0	42612.0	44765.0	47661.0	64361.0	52747.0	56423.0	49222.0	66262.0	45213.0	43512.0	41352.0	49062.0	38247.0	33384.0	31956.0	43840.0	33191.0	32130.0	33070.0	48450.0	36267.0	34076.0	33629.0	40849.0	32983.0	33614.0	28918.0	40384.0	29175.0	30770.0	26626.0	28290.0	23674.0	23161.0	27206.0	38655.0	

Emu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	1.99E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13E-5	2.28E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Emperor Goose	2.35E-5	1.207E-4	1.285E-4	2.33E-5	6.56E-5	2.69E-5	1.99E-5	0.0015	2.93E-5	0.0015	0.0015	1.76E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.01E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	6.92E-5	0.0	0.0	0.0	0.0015	0.0015	1.69E-4	1.295E-4	0.0015	5.17E-5	
Snow Goose	0.0301899	0.0307209	0.0282125	0.0254135	0.023426	0.0187749	0.0163005	0.0203704	0.0208851	0.0212625	0.0197185	0.0216844	0.0243828	0.0281917	0.0348293	0.0255123	0.0170626	0.0101023	0.0044695	0.0021128	9.511E-4	3.218E-4	3.627E-4	4.892E-4	1.046E-4	2.396E-4	1.878E-4	2.965E-4	7.833E-4	6.536E-4	0.0010281	9.494E-4	8.823E-4	0.0010271	0.0024978	0.014982	0.0413243	0.0618195	0.078567	0.0784964	0.0668038	0.0617485	0.0517915	0.0451043	0.0372138	0.032123	0.0292583	0.0281206	
Ross's Goose	0.0	0.0	0.0	0.0015	6.56E-5	8.08E-5	1.99E-5	3.24E-5	0.0015	0.0	0.0015	3.52E-5	7.04E-5	8.94E-5	3.777E-4	0.0018489	7.963E-4	4.608E-4	1.828E-4	3.02E-5	2.21E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93E-5	2.97E-5	4.9E-5	1.819E-4	0.0	3.46E-5	4.95E-5	3.43E-5	0.0	0.0	3.53E-5	0.0	0.0	0.0015	0.0015	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.11E-5	1.9E-5	0.0	2.03E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	2.1E-5	3.11E-5	0.0015	1.77E-5	0.0	1.51E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03E-5	0.0	3.46E-5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	2.35E-5	3.02E-5	0.0	0.0	0.0	0.0015	0.0	0.0	2.93E-5	0.0	0.0	0.0	0.0	0.0	2.1E-5	1.55E-5	0.0	0.0	0.0	0.0	0.0	2.3E-5	0.0	0.0	2.61E-5	0.0	0.0	0.0	0.0	0.0	3.02E-5	0.0	0.0015	0.0	0.0	2.45E-5	0.0	5.95E-5	0.0015	0.0	6.86E-5	3.25E-5	3.76E-5	0.0	0.0	0.0	0.0	0.0015	
