Date,Time,Sci_Name,Com_Name,Confidence,File_Name,month_num,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12,in_bc_list,flag_not_in_bc,flag_low_conf,flag_out_of_season,flag_rare_status,flag_early_deploy,flag_suspect
2024-06-14,21:26:44,Todus subulatus,Broad-billed Tody,0.8831378,Broad-billed_Tody-88-2024-06-14-birdnet-21:26:44.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:26:44,Todus subulatus,Broad-billed Tody,0.7010206,Broad-billed_Tody-70-2024-06-14-birdnet-21:26:44.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:26:59,Todus subulatus,Broad-billed Tody,0.7067974,Broad-billed_Tody-71-2024-06-14-birdnet-21:26:59.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:27:14,Todus subulatus,Broad-billed Tody,0.7844153,Broad-billed_Tody-78-2024-06-14-birdnet-21:27:14.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:27:29,Todus subulatus,Broad-billed Tody,0.81718713,Broad-billed_Tody-82-2024-06-14-birdnet-21:27:29.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:27:29,Todus subulatus,Broad-billed Tody,0.7949797,Broad-billed_Tody-79-2024-06-14-birdnet-21:27:29.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:27:44,Todus subulatus,Broad-billed Tody,0.73882556,Broad-billed_Tody-74-2024-06-14-birdnet-21:27:44.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:28:44,Todus subulatus,Broad-billed Tody,0.744535,Broad-billed_Tody-74-2024-06-14-birdnet-21:28:44.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:29:44,Todus subulatus,Broad-billed Tody,0.844772,Broad-billed_Tody-84-2024-06-14-birdnet-21:29:44.mp3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2024-06-14,21:55:53,Catharus ustulatus,Swainsons Thrush,0.8479535,Swainsons_Thrush-85-2024-06-14-birdnet-21:55:53.mp3,6,0.0726984,0.353579875,6,Common,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
