Com_Name,Sci_Name,n,max_conf,mean_conf,rarity,annual_mean,n_months_present,prop_suspect,any_not_in_bc,any_out_of_season
Warbling Vireo,Vireo gilvus,862,0.96223676,0.7722189142343387,NA,NA,NA,1,TRUE,TRUE
Pacific-slope Flycatcher,Empidonax difficilis,58,0.93632627,0.8065280967241379,NA,NA,NA,1,TRUE,TRUE
Broad-billed Tody,Todus subulatus,9,0.8831378,0.7795189433333333,NA,NA,NA,1,TRUE,TRUE
Herring Gull,Larus argentatus,8,0.83314884,0.762057175,NA,NA,NA,1,TRUE,TRUE
Yellow Warbler,Setophaga petechia,1,0.777106,0.777106,NA,NA,NA,1,TRUE,TRUE
Lesser Goldfinch,Spinus psaltria,8,0.88439643,0.777234805,Very rare,3.687916666666667e-4,0,1,FALSE,TRUE
Ruddy Turnstone,Arenaria interpres,3,0.79752076,0.73827988,Very rare,8.327083333333333e-4,3,1,FALSE,TRUE
California Scrub-Jay,Aphelocoma californica,1,0.81157005,0.81157005,Rare,0.0011084354166666667,6,1,FALSE,FALSE
Long-eared Owl,Asio otus,1,0.80122316,0.80122316,Very rare,9.665e-4,4,1,FALSE,TRUE
Northern Pygmy-Owl,Glaucidium gnoma,22,0.95268923,0.7949958168181818,Rare,0.004824183333333333,12,0.9545454545454546,FALSE,FALSE
Northern Saw-whet Owl,Aegolius acadicus,38,0.97119516,0.7845120160526315,Rare,0.0038998520833333334,9,0.9210526315789473,FALSE,FALSE
Western Kingbird,Tyrannus verticalis,4,0.8596197,0.76239208,Uncommon,0.0067427208333333336,5,0.25,FALSE,TRUE
Spotted Towhee,Pipilo maculatus,6009,0.99386543,0.8059342088716924,Common,0.32626185625,12,0.05558329172907306,FALSE,FALSE
MacGillivrays Warbler,Geothlypis tolmiei,19,0.9527062,0.8299628757894737,Uncommon,0.019613877083333335,6,0.05263157894736842,FALSE,TRUE
Common Nighthawk,Chordeiles minor,432,0.9964175,0.8842951409722222,Uncommon,0.009417010416666666,5,0.03935185185185185,FALSE,FALSE
Varied Thrush,Ixoreus naevius,26,0.98092914,0.800405586923077,Common,0.08254207708333333,12,0.038461538461538464,FALSE,FALSE
American Robin,Turdus migratorius,3809,0.98542005,0.7767527103885534,Common,0.430558325,12,0.03439222893147808,FALSE,FALSE
Rufous Hummingbird,Selasphorus rufus,45,0.94174653,0.7991633973333333,Common,0.07521209583333333,7,0.022222222222222223,FALSE,FALSE
Northern Flicker,Colaptes auratus,5437,0.9768222,0.7885388700772484,Common,0.3747976333333333,12,0.011955122310097481,FALSE,FALSE
